Name	Category	Id
You wouldn't like me when I get gutta	Incel	UCpDAdprUWs21wyWwbv_Z4pw
KingOfTFL	Incel	UC5m-1lIBZeSSSDDSbl9sNFw
Link	Incel	UCcYXfb3ftov8m-dwcDpO00g
Oreoman	Incel	UCV3oX6B8Uq8VMh_L5zStVfg
BlackpillMafia	Incel	UCnL31BzrmNz8MHwrCLhnjIw
Vav	Incel	UCdNyLKP5CW9dPQka8SwXHUA
First Last	Incel	UCDp4wd-htp51Ir5aByUN15w
AsHBoY	Incel	UCUcpr6naAk-kCA1L8OOM5Nw
Coach Black Pill	Incel	UCDBRuSWtxU8cQeZ-iVd_gvw
Top Dollar Black Pill Gangster	Incel	UCocq2LGS2ApHcu3O0PJa2eA
Incel TV	Incel	UCOaH9Cetw1_eAyUxpl6aqwQ
Incel Uprising	Incel	UCXHKuD1uuh-jsoh6CmF6rww
NullCyber	Incel	UCGlLEGoGE1ZUAMQcUFNa8QQ
TheUnreal1	Incel	UCVaWf4IhCjjMHGVeTvXcS1g
Off Grid Prosperity	Incel	UCHU64hE5gBhdJk4iqGejHIw
Kenneth The Golden Child	Incel	UCG5aDTHFulVQViF9E-FTzNw
RICEPILL	Incel	UC7JWVo-MDRhNBiU7Dp8j6kg
DontPanicTheRapper	Incel	UC1uqC_EGj8qge9msaf699YQ
Blackpill Bishop	Incel	UCoi355TFIZ3nc2ODfE8WGoA
Looks Theory	Incel	UCa3DmNrFcBTQbtNPkF0iprA
SteveDougson	Incel	UCZjz2s4DyU6TrGzXJQ_VBRw
The Incel Experience	Incel	UCTWyeeDyUn1GCEzb6XZG7MQ
Mainlander	Incel	UC41VQF08gjJGz5tYyp5ezfw
GynoPrince	Incel	UCh-yZehWlvPds-NewsXpzwg
Samuel Maxwell	Incel	UCZ5VQ34f6yxjlkLaq8lbgvA
Jack Peterson	Incel	UC3VGE_oMmD3qzI9yEco0I1w
Facehacking: The Science of Attraction	Incel	UCpsuUgmFvHpDXs96pgdrq6g
BrendioEEE	Incel	UCpk7Ru_tqTSEiKJzlmFxLgw
Kyle H.	Incel	UCGERZ-3ZyAJqevZtw9PCatQ
FACEandLMS	Incel	UCQgiVTdHRr7NI4xIdJui5Wg
Never Give Up	Incel	UCYQ2gQbvIwIM90N13dnkvwg
Virgin Messiah	Incel	UCO01qpeL29tfw4RTwTZv-sw
Downhill D Mille	Incel	UCPvPtUY5MOoaQqg3i7xeEIw
Hell by the Dashboard Light	Incel	UCnxGkOGNMqQEUMvroOWps6Q
HeedAndSucceed	Incel	UCiTnIVJLN3wBHM9EQx4kW8g
Rejected-From-Eve .Zero	Incel	UClGh7QkXnUikoRUo6RSVlMA
TFL at was	Incel	UCyQsQSKayfcZoHaCjqxxSlg
William Lupinacci	Incel	UCFQ6Gptuq-sLflbJ4YY3Umw
BigBOSSCalvin83	Incel	UCRa_kxWOnJsSSb7S0ijguBw
Free Thinker Silver	MGTOW	UCm5J1Fu_dHgBcMTpXu-NXUw
Howard Dare	MGTOW	UCwtGHPbMWBRvfGCyDQ-bNfQ
Liberation Y	MGTOW	UCs-brcHDxKqrOGU9cEWuCMQ
Manosphere Environment	MGTOW	UCrBFmNZB-Pwk1n0Bk_Ivwbw
King Richez On Fire	MGTOW	UCFlDbTySKx1uRx4R50w-9eA
Alexander Juan Antonio Cortes	MGTOW	UC-Wz_tOR0ChooAoesAUv4Lw
Wise2daGame	MGTOW	UCn0ZK0ayG3eJhQC_j90wBmw
MGTOW Truth	MGTOW	UCU80Ocd--K1vzTGYxMjEiOw
John Nada	MGTOW	UCIC8GH44FjpllvFu5DzO5xw
Undead Chronic	MGTOW	UCrBS0YjL5OO8iBnV6f6M-bw
MGTOW MANINAZI	MGTOW	UCFe3hqzU5BhiKdXlqjc1KtA
Marcel Enlightened	MGTOW	UCmr4cFcLqeRUk6Km3vaGotA
The Mad MGTOW	MGTOW	UCrv0NCiVhht6HfViwlaVJBA
Johnny MGTOW	MGTOW	UCzH0b69GmcdQg-ArmrgeNsQ
M TMM	MGTOW	UC_OGIvbOor3bUybYaUTIo3w
fat guy Mgtow	MGTOW	UCHJRJ0f4qV5eQzH3LerhyJA
Cyber Monk	MGTOW	UCnN9VhiGlmjCz0JaZi3GnkQ
JDAWG MGTOW	MGTOW	UCRiQPLkTbRXwVuoeRNjJohg
Yogi Oabs	MGTOW	UCWvzoD9t7tIKV3WjOzk-Yfw
Alexander Grace	MGTOW	UCyc9mFN1Gf24xfO0cl8gJug
Calrisianthagod	MGTOW	UCeY3vg1r0KrvuyPOi7T39eA
HardHittingHealthTruth J	MGTOW	UCR0srRLH-bri5HPnoaZJclw
The Thinking Man's Templar	MGTOW	UCRboG-2RFSZbOs4LQo6bKOw
Mr Forma	MGTOW	UCb7fZ328aBqOClRuAOOKjqw
Kingee Mgtow	MGTOW	UC4u39IvAzPFPz3K7Nxg2o4g
Zangatti	MGTOW	UCpbACnMmFIaKjCbwrZROXvg
Yorkshire MGTOW	MGTOW	UCWrbXJxmAol4DZdfiz2-vIw
Stephon Clinkscales	MGTOW	UCFsAy88-PQxn8NiahfBCwgg
College MGTOW	MGTOW	UC3n-Hywbms82-FPejNPpnEA
Sidney MGTOW	MGTOW	UChJNXTQCr7YIziV8d1H6tXw
Southern Male	MGTOW	UCSKhcq_fYLgYMWzVw52GjBg
EMAN67	MGTOW	UCVOPAzWt7c7bG1r2WkmV3Jg
LFA	MGTOW	UCnOofSLpyiDQcThNKf2JJGw
Jaye de Black	MGTOW	UCkS25_BA441NQMkbJG_k9Kg
lastsecshot	MGTOW	UCXmSzYyPQ6CuCzwitLclnjg
MonsterManTV	MGTOW	UCM96pu5VCp13f7P8Ar7qUjg
RPOS	MGTOW	UCF1F7bQ_7-C8_JMDiIKE6LQ
EntrepreneursInCars	MGTOW	UCHwIeue1WcJzfS2dvCVuiWA
Mountain MGTOW	MGTOW	UCuKqtwPO5ci5_KoZGbfl33g
Hammer Hand	MGTOW	UCoZ_kgm4fIOm3n3EgDbEncw
The Ukrainian Lens	MGTOW	UCtCAKno3zALipFdpdY1ZLjA
TheMABExperience	MGTOW	UC0qSkLTzo-40rA-WvzjTHDg
