Name	Category	Id
ABCs of Attraction	PUA	UCEjjHEa3xG6W91ZL7_jSYCw
SquattinCassanova	PUA	UCNfKp9eXtcCM1-Nz0mTCGTw
KamaTV	PUA	UC2onM4kU0ChVbwlYMemRJEg
Appolonia Ponti	PUA	UCYqdbnuvx-jJZByotoNW-5Q
Ryan Black	PUA	UC1GvdBQyTeP8eCbcqdRWiZA
naturally bubbly	PUA	UCNttYr07FLI6jzz_VUMeF6w
MantelligenceDating	PUA	UCfMX1py0agQyBcOKjt2VSzA
Todd V Dating	PUA	UCo9XJennsRNhyPbXCq6e8aw
Dan Bacon	PUA	UCpjFHKuH-BQELT8lj85vmRw
The Dating Wizard	PUA	UCCLBZkbVMsDy3T-ErLOkVdw
Kate Spring	PUA	UCNpBDi0eHdQ7-vBr_tZ2ksw
Marni Your Personal Wing Girl	PUA	UCCgrWW6fsUVdRD7xI52xhnQ
Elliot Hulse	PUA	UCLrI-dOLyDbRnPyUeWadsOg
Tripp Advice	PUA	UCjTMOi3cpslA7JUmPdfD6MQ
Based Zeus	PUA	UC1PkRYud11ogYDqgdqd23Zw
Street Attraction	PUA	UCc33T6QinM7wdXBx8eKpikA
Honest Signalz	PUA	UC6BLvNM83VFg0Vgh_aCfOGw
TaySocial	PUA	UClKa8mrHgQfeeh5EIDqRfAQ
4 Week Natural	PUA	UCPcIrG2d96HDzRqCE93K2Eg
Texas Dom	PUA	UC0pud8uplkWWp8SYXjS828g
The Red Man Group	PUA	UCY0fILilUr601SPy-wc0XUQ
Ollie Pearce	PUA	UCwWkbMqbsawHFyfeGEHb8mA
Bradicus	PUA	UCNt2iZyQIgkaW0Bcwhw8PLQ
Motivation Specialist	PUA	UCzpGSici-H8VtnhCPp_b3Yg
David Bond	PUA	UCyKApv3PvaslEzHR9rwK4_w
AlphaMaleSociety	PUA	UCSuIAAH09DiO10JXWdsCQEw
Tanner Guzy	PUA	UCHfnqyD8fb_rzkRmZSo0Wng
Connor Murphy	PUA	UCwNPPl_oX8oUtKVMLxL13jg
Andrew Foraday	PUA	UCsspQFcCZ14d5DPMfVbPuuw
LightsCameraNegeen	PUA	UCQFmSsxwJwOALJZp3GYf7Cg
JoshTryhane	PUA	UCPsp098EE90Gyqgvo0Eazeg
FashionGameTV	PUA	UCwwP0UPUoTPHg2nWe4qERbA
Love Advice TV	PUA	UClOZ-fMMvom8p2GWZ_ihpfw
BradBrowningExFactor	PUA	UChCFbthWQF4MKA-43SCDB9g
The Charisma Matrix	PUA	UCs14Smim-bliHN4GBEom-Vg
Daniel Blake	PUA	UC2qovl2JjYyMI_cqznjSGWg
AWxInc	PUA	UCaaApS4TMI3KueyAkIQv1XQ
Wade Alters	PUA	UCxObD2ivFPpq9Akna40s7Fw
SimpleSexyStupid	PUA	UCJgVPwzPxklQr6WHwJLPlew
AlphaMaleSecrets	PUA	UCPa30Vkk1iM3rahMbjfltjw
Jack Manley TV	PUA	UCWYzs-Mi7SM_n1EgvzIOn3w
MontrealRSDCrew	PUA	UCts47p-nMPfpG4zZPB3ZfKA
RSD Luke	PUA	UC2XMvfBq5w2P4_ZYOsMlxVg
Sam Overton	PUA	UCB6Axmo3AK495fsvuDcLkjg
Social Prime	PUA	UC-gs1e4-V16TM5mgo5d_xuw
Anthony Hustle	PUA	UCGcZSPnN83GbcqzIJauoogA
Rian Stone	PUA	UC4ayoBG3GC0TtiOVX9y2_IQ
Matt Eastwood	PUA	UCE34NceQJKjipx5CRG8Qi1Q
How to Beast	PUA	UCtQEjfEFzba37ozoXK40r3w
AlphaMconsulting	PUA	UC1KbedtKa3d5dleFR6OjQMg
Viking Lifestyle	PUA	UCRn-wnGsb6DaXdi9U-afAsA
Sasha Second	PUA	UCKCWzpfMtsofk8bm80WzwmA
COCO Chanou	PUA	UCdGAMy3KL1lCaaH7_JMvUeg
LiamMcRaeRants	PUA	UCr4noD5_Hxn6X_qdaQHA6Kw
The Path of the Modern Man	PUA	UCm7cF_PSiLUhXPEVyuG25Gw
The Bowl	PUA	UCAPZwfAHn51sSZiFHorTxHA
Dave Perrotta	PUA	UCl7GLJo420GdYP7mYZh-yEg
Austen Summers	PUA	UCaQs5uEGmuNoj8GGVhnB3kA
LetsGetGirls	PUA	UC8X33POhYcIN-JwOaxEz2Lw
Evolution Daily	PUA	UCp_3ZnE5OjPbQCO_LbhObGA
Moe Abbassi	PUA	UCey8aYvvhqRbZCruPdD5caw
Brian Black	PUA	UC4py_gZiZJoyThV0Xwxhzug
Johnnyberba	PUA	UCSfAjvVM5cqn7DCng0OR-pQ
willy beck	PUA	UCQ69s6pIPwV5tioRAGrG0Tw
Coach Corey Wayne	PUA	UCQTAVxA4dNBCoPdHhX9nnoQ
Kezia Noble	PUA	UC_fiSXsgDVMLDmExLohAYIA
Richard LaRuina	PUA	UCsMzMM6gDS8ZiDIPmatGngg
Michael Valmont	PUA	UCD-cyDCJUs80NGUCYTCVPDA
Dating Architect	PUA	UC52xQhSiQh5zOTJoooIMOsg
MysteryPickUpArtist0	PUA	UC0G7RJSfUaWa2Zfw_0Jyoug
Beckster Lifestyle	PUA	UCb1pUSilDPgMaf5P3E8ZRvA
Daygame.com	PUA	UCqisd7riZrTjKdU0dqpoONw
The Sasha Daygame Podcast	PUA	UCgt1Qx_QBSzF9SLMLY2UnNA
SucceedAtDating	PUA	UCTvejcHP9cK5XqCIPZvdAbg
Social Daygame Infield	PUA	UC4QWILrhh8gQe99Kmdoba4Q
Badboy lifestyle	PUA	UCVQlNTd8M5vD-exIpikpvog
FarFromAverage	PUA	UC6Iaz96RkYE-MOjnq5NPgqw
Steve Jabba	PUA	UCdHHNkBbGj4tuMo6SjEl1dg
TheSingleLife	PUA	UCTJuAgxiigm_gg9YDyq9y8A
Michael The Situation	PUA	UC_T1In1fbHpXKEuW8a8-2pg
Nick Krauser	PUA	UCiChLqJjX4d_Q6X24ryyqXA
JanLifestyle	PUA	UCPLa73c0_QQMZipl1HybtHg
ASIAN ROMANCE	PUA	UCEHhJ6PAp-BEW2im0SAfK4w
Sol Dating And Lifestyle	PUA	UCagHu20Tuj3zElwZj-w2Fqw
Daygame Australia	PUA	UCfGxf1tdjIdtpFY2IjggDNw
Beastmode Magazine	PUA	UCmDv0nPpc_lum517VF1e8VA
MrBeneification	PUA	UC-Or4JV-ikWES6ZwCVN__PA
21 Studios	PUA	UCuErSr7xeR763BzTJL7yJ7A
Venusian Arts	PUA	UC258xnugPLjXRPO34QACiBw
The Natural Lifestyle	PUA	UCk9SqfJYu5HP5e2dfClpr0g
Satory	PUA	UCMBL8vkod4OKHgW_QqvfXwA
Sasha Daygame	PUA	UClae1uxKkw28rfX20Jm9Qyg
James Tusk	PUA	UCxJiYMtouGpvAdeZyZoHGZg
Alpha Male Strategies	PUA	UC0it1cu-mt_IcvLTQ4CWcHw
The33Secrets	PUA	UCjwD__1zcIfzVL6l2I5uBdg
tomtorerotv	PUA	UC-FIowkUpK-L9sfZRCef_iw
Lifestyle mastery	PUA	UCM4bEcJjqR7WlrRIfBIkBdQ
Johnny Cassel	PUA	UC0-Uk0ex4khy7c-nYy6Ex-Q
RSD Ozzie	PUA	UCJjOsobrGr72uABRLPDyaJQ
AskToddV	PUA	UCvmKbukYpA8SagnjSHt_NfQ
RSD Motivation	PUA	UCFhYciYV6oyqrOfoZoyoYCg
Nick Kho	PUA	UCu5vCs-tKoYzPBxnVF8FYGQ
RSD Max	PUA	UCmIq20BSpfq7Y5qS-dQudog
Julien Himself	PUA	UCaN4Pe5JEsWzAByY2WfxxjQ
RSD Jeffy	PUA	UC_1N_NAJv18XOndxdixfW6g
How to approach her	PUA	UCkwcu77254CvudmXRfcTaDg
Coach Kay	PUA	UC8_LUYv0d5OSl1V94LH-y3Q
The Fearless Man	PUA	UCjyn_K6PpnAUh1KKyYAHsBA
RSD Tyler	PUA	UCD4xqm6vJ3K4ntppsE1jL4g
RSD Julien	PUA	UCTyvDKLQnpIivQzX9qa5sWA
Victor M Paz Jr	PUA	UCOTpnM9yWpZkSp6ZX27QwjQ
Loveme.com	PUA	UCjCqhc2OU63ygl53UA-iyHQ
naughtynomadtv	PUA	UCqdICzheBUg6W7DyOYQamJA
Tariq Radio	PUA	UCjH72OaQxPoKgtv56C-4NOA
GoodLookingLoser69	PUA	UCFH8kR8gq7nn9GqSpgwu1kQ
rsdfreetour	PUA	UCTF6CEoSHHGTuJwk_zppupw
HayleyQuinnXx	PUA	UCyA6r3k8zMF2axgxVz-qTMA
DoubleYourDatingDD	PUA	UC7XM4gIpmyH1XNTDEVbSS9w
Elisha Long	PUA	UCvF7Ll_WOgQWOw0KZJsVNXQ
PickUpArtistPUA	PUA	UCi-ZsSk7G8z2G12KgTjKgZw
John Cooper - Art of Social	PUA	UCUVCYTauctWL_VgysXmgTaQ
Roosh V	PUA	UC16j6EppP0K85CzYMduNCqw
Mindful Attraction	PUA	UCBmkZCMwh-OqGB5eU2W3QXg
big think	center	UCvQECJukTDE2i6aCoMnS-Vg
today i found out	center	UC64UiPJwM_e9AqAd7RiD7JA
mental floss	center	UCpZ5qUqpW4hW4zdfuBxMSJA
the economist	center	UC0p5jTq6Xx_DosDFxVXnWaQ
relevant magazine	center	UC4WdIJ_D_lJb87uE3JV5SgQ
consumer reports	center	UCOClvgLYa7g75eIaTdwj_vg
world economic forum	center	UCw-kH-Od73XDAt7qtH9uBYA
c-span	center	UCb--64Gl51jIEVE-GLDAVTg
financial times	center	UCoUxsWakJucWg46KW5RsvPw
harvard business review	center	UCWo4IA01TXzBeGJJKWHOG9g
military.com	center	UC7F2QS7wk6Eq9Z4uabl5rmg
vocativ	center	UCe2PK9vNxfogdvkx4jqB8uQ
the indian express	center	UCJEDFSxHHOW1PpBccdSxOTA
makeuseof	center	UCfXdejDvNviqilmJ9DvGuow
recode	center	UCMDxbhGcsE7EnknxPEzC_Iw
investopedia	center	UCvwFhI0mrIWDiZUabRapS5Q
vox	left	UCLXo7UDZvByw2ixzpQCufnA
gq magazine	left	UCsEukrAd64fqA7FjwkmZ_Dw
vanity fair	left	UCIsbLox_y9dCIMLd8tdC6qg
mashable	left	UCL8Nxsa1LB9DrMTHtt3IKiw
cosmopolitan	left	UC4LADtN8xwppFydHUB1s5uA
huffington post (huffpost)	left	UCZfsrIV68Oegr5bJgAMLBDA
elite daily	left	UCqLj_VGACwmDa0FZ4UV3j-w
democracy now	left	UCzuqE7-t13O4NIDYJfakrhw
people magazine	left	UCGbQJy-531_5vfphay-rChQ
new yorker	left	UCsD-Qms-AkXDrsU962OicLw
upworthy	left	UCswDowOOvJ-fkCgH9YAITjQ
uproxx	left	UCueKD4jxzgHvCISK2pBt0cQ
slate	left	UCYC4ijpFZY_CtdElWFyy-Gg
merry jane	left	UCSecgeLcJ6qXmE-tgOMYM1Q
good magazine	left	UCeHHAF22PljrnnjskZeljmg
new york magazine	left	UCJNMUA0J-hgaTmiNEYZf2Jw
vice news	left-center	UCZaT_X_mc0BI-djXOlfhqWQ
wired magazine	left-center	UCftwRNsjfRo08xYE31tkiyw
the verge	left-center	UCddiUEpeqJcYeBxX1IVBKvQ
glamour magazine	left-center	UCY9eEaH19ulZmdusctU1ejA
scoopwhoop	left-center	UCx2HcmpB-UZGkMXOCJ4QIVA
business insider	left-center	UCcyq283he07B7_KUX07mmtA
sky news	left-center	UCoMdktPbSTixAyNGwb-UYkQ
cbc news	left-center	UCuFFtHWoLl5fauMMD5Ww2jA
the guardian	left-center	UCHpw8xwDNhU9gdohEcJu4aA
engadget	left-center	UC-6OW5aJYBFM33zXQlBKPNA
washington post	left-center	UCHd62-u_v4DvJ8TCFtpi4GA
hollywood reporter	left-center	UCZ8Sxmkweh65HetaZfR8YuA
techcrunch	left-center	UCCjyq_K1Xwfg8Lndy7lKMpA
rolling stone	left-center	UC-JblcinswY50lrUdSaRNEg
lifehacker	left-center	UCYGnmkFGP4EgAOqu58JA_lg
global news	left-center	UChLtXXpo4Ge1ReTEboVvTDg
feminist frequency	left-center	UC7Edgk9RxP7Fm7vjQ1d-cDA
global citizen	left-center	UCg3_C7BwcV0kBlJbBFHTPJQ
(the)atlantic	left-center	UCK0z0_5uL7mb9IjntOKi5XQ
la times	left-center	UCw3SYO_euO0TSPC_m_0Pzgw
san francisco globe	left-center	UCeFBQmxaVN-grC9sFmz5ucA
yahoo news	left-center	UCF7hznHog_lCTbwxjj1jrPg
scroll.in	left-center	UCl8zB2LZOiLLV0jYUMpTEgA
new york daily news	left-center	UCx-h2AWPCBJEqzH9HXe2ZIA
forbes	right-center	UCmh7afBz-uWwOSSNTqUBAhg
russia insider	right-center	UCAvBcst08Tfo4VNtIaRPTNw
ntd.tv (new tang dynasty)	right-center	UC8Ioh4atNDO5a0Vy2qFmauQ
learn liberty	right-center	UCFJNcE0iHj7P6dhp5iCZRLg
new york post	right-center	UCrvhNP_lWuPIP6QZzJmM-bw
gulf news	right-center	UCXTuTQZarVcFR_fgQXvsLpw
pj media	right	UCWq53_f3zgMcWuE-XFKSpyQ
national rifle association (nra)	right	UCZr49eSL2aHQ_41476IrkbA
project veritas	right	UCL9PlYkRD3Q-RZca6CCnPKw
american enterprise institute	right	UCt8lRYpzb-sSrKFb4DT2ECw
ron paul liberty report	right	UCkJ1N-7g9Q6n7KnriGit-Ig
judicial watch	right	UCGDaOZg2INC0Qg2Z203F1dA
